species;po;ps;lp;;species_1;open;sup;taxa;treatemt;seeds
alb;1;0.3;-2.333333333;;chi;0;84;alb;open;44
chi;0.5;0.4;-0.25;;chi;0;63;alb;open;398
lit;0.25;0.4;0.375;;chi;65;0;alb;open;94
mut;0.1875;0.05;-2.75;;chi;209;0;alb;open;16
;;;;;chi;177;0;alb;open;214
;;;;;chi;181;30;alb;open;356
;;;;;chi;0;56;alb;open;232
;;;;;chi;0;0;alb;open;3
;;;;;chi;0;0;alb;open;23
;;;;;chi;0;0;alb;open;140
;;;;;chi;0;0;alb;open;174
;;;;;chi;198;0;alb;sup;0
;;;;;chi;50;NA;alb;sup;0
;;;;;chi;0;NA;alb;sup;0
;;;;;chi;42;NA;alb;sup;260
;;;;;chi;91;NA;alb;sup;11
;;;;;alb;44;0;alb;sup;3
;;;;;alb;398;0;alb;sup;0
;;;;;alb;94;0;alb;sup;0
;;;;;alb;16;260;alb;sup;0
;;;;;alb;214;11;alb;sup;21
;;;;;alb;356;3;chi;open;0
;;;;;alb;232;0;chi;open;0
;;;;;alb;3;0;chi;open;65
;;;;;alb;23;0;chi;open;209
;;;;;alb;140;21;chi;open;177
;;;;;alb;174;NA;chi;open;181
;;;;;mut;14;74;chi;open;0
;;;;;mut;238;391;chi;open;0
;;;;;mut;247;0;chi;open;0
;;;;;mut;0;0;chi;open;0
;;;;;mut;0;0;chi;open;0
;;;;;mut;0;0;chi;open;198
;;;;;mut;0;0;chi;open;50
;;;;;mut;0;0;chi;open;0
;;;;;mut;0;0;chi;open;42
;;;;;mut;0;0;chi;open;91
;;;;;mut;0;0;chi;sup;84
;;;;;mut;0;0;chi;sup;63
;;;;;mut;0;0;chi;sup;0
;;;;;mut;0;0;chi;sup;0
;;;;;mut;0;0;chi;sup;0
;;;;;mut;NA;0;chi;sup;30
;;;;;mut;NA;0;chi;sup;56
;;;;;mut;NA;0;chi;sup;0
;;;;;mut;NA;0;chi;sup;0
;;;;;mut;NA;0;chi;sup;0
;;;;;lit;431;343;chi;sup;0
;;;;;lit;56;320;chi;sup;0
;;;;;lit;15;761;lit;open;431
;;;;;lit;67;355;lit;open;56
;;;;;lit;0;672;lit;open;15
;;;;;lit;0;221;lit;open;67
;;;;;lit;0;780;lit;open;0
;;;;;lit;0;258;lit;open;0
;;;;;lit;0;0;lit;open;0
;;;;;lit;0;0;lit;open;0
;;;;;lit;0;0;lit;open;0
;;;;;lit;0;0;lit;open;0
;;;;;lit;0;0;lit;open;0
;;;;;lit;0;0;lit;open;0
;;;;;lit;0;0;lit;open;0
;;;;;lit;NA;0;lit;open;0
;;;;;lit;NA;0;lit;open;0
;;;;;lit;NA;0;lit;sup;343
;;;;;lit;NA;0;lit;sup;320
;;;;;lit;NA;0;lit;sup;761
;;;;;;;;lit;sup;355
;;;;;;;;lit;sup;672
;;;;;;;;lit;sup;221
;;;;;;;;lit;sup;780
;;;;;;;;lit;sup;258
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;lit;sup;0
;;;;;;;;mut;open;14
;;;;;;;;mut;open;238
;;;;;;;;mut;open;247
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;open;0
;;;;;;;;mut;sup;74
;;;;;;;;mut;sup;391
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
;;;;;;;;mut;sup;0
