Ind;Taxa;Sitio;Long_ex;Long_int;Diam_cor;Long_cor;Diam_in_cor;Ap_floral;Prof_nec;Long_est;Long_ant;Dist_ant_b;Dist_ext_b;r*100;c*100;t;r_aleat;c_aleat;t_aleat;Alloscirtetica_lanosa;Anthrenoides_sp;Apis_melifera;Caenohalictus_rostraticeps;Caenohalictus_cyanopygus;Caenohalictus_sp;Chilicola_mantagua;Chilicola_sp;Corynura_herbsti;Diadasia_chilensis;Dialictus_sp1;Dialictus_sp2;Liphantus_sp;Patagonas_gigas;Trichothurgus_dubius;Xenochilicola_diminuta;Alloscirtetica_lanosa_fix;Anthrenoides_sp_fix;Apis_melifera_fix;Caenohalictus_rostraticeps_fix;Caenohalictus_cyanopygus_fix;Caenohalictus_sp_fix;Chilicola_mantagua_fix;Chilicola_sp_fix;Corynura_herbsti_fix;Diadasia_chilensis_fix;Dialictus_sp1_fix;Dialictus_sp2_fix;Liphantus_sp_fix;Patagonas_gigas_fix;Trichothurgus_dubius_fix;Xenochilicola_diminuta_fix
1;E_chi;Los_Molles;31;26.07;40;20;12.81;13;0.85;16.88;8.68;2.85;0.68;3;12;68;-152;4;-173;0;0.57108081;0;-0.03131219;0;0;0;0.618461827;0.34745889;0;0;-0.202768866;2.2160587;0;0.1441067;0.9091047;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
2;E_chi;Los_Molles;42;36.9;36;26;11.77;23;1.37;23.44;14.6;8.11;5.06;3;11;70;158;-1;-110;0;0.802808051;0;0.6385895;0;0;0;-1.416459403;-0.30945468;0;0;-0.092062385;3.0515227;0;0.7802552;1.3626599;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
3;E_chi;Los_Molles;36;32.31;30;25;12.77;16;1.47;21.37;13.57;5.66;3.39;2;6;69;46;-9;316;0;0.717915224;0;-0.23073778;0;0;0;-0.011318111;-0.31247161;0;0;0.358506995;1.9313562;0;0.9116713;0.7921629;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
4;E_chi;Los_Molles;37;34.05;53;31;17.33;28;2.08;24.06;12.47;8.09;4.14;2;12;65;64;-12;511;0;0.852927724;0;-0.04709792;0;0;0;-0.887460777;0.34955288;0;0;0.285442325;3.2755165;0;-0.5902875;0.5162482;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
5;E_chi;Los_Molles;36;31.89;39;29;16.71;16;1.51;20.52;9.43;7.41;4.37;2;9;57;26;17;81;0;-0.717289444;0;-0.46512014;0;0;0;-0.001259617;-0.39154594;0;0;-0.009090369;4.12814;0;0.1796999;-3.3057916;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
6;E_chi;Los_Molles;39;30.38;54;28;16.54;16;1.85;20.06;8.99;6.64;4.16;3;14;59;-1;11;119;0;0.436315185;0;0.57376968;0;0;0;0.461910711;0.93306457;0;0;0.10589968;0.5134162;0;-0.2998181;1.3697907;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
7;E_chi;Los_Molles;35;32.51;41;19;15.45;16;1.34;21.48;12.11;5.74;4.4;2;4;75;59;3;-163;0;2.596268768;0;-0.10584511;0;0;0;-0.567493683;-0.30821617;0;0;-0.193397297;2.9550621;0;0.4271207;-0.3538539;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
8;E_chi;Los_Molles;32;26.74;24;20;16.37;15;1.54;20.71;11.35;5.28;4.2;3;14;62;17;27;304;0;1.446885704;0;0.45340628;0;0;0;0.002827361;-0.05328943;0;0;0.032301188;4.0941977;0;0.256518;1.313368;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
9;E_chi;Los_Molles;35.14;28.61;37.7;22.76;13.37;12.86;2.14;19.91;11.27;6.92;2.69;3;10;64;-115;-4;89;0;1.03848986;0;-0.23950986;0;0;0;1.001152896;0.06760079;0;0;0.005700003;0.6966366;0;0.6785899;-0.7774371;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
10;E_chi;Los_Molles;37.44;28.54;35.99;23.04;16;10.4;2.55;20.78;7.93;5.61;2.9;3;6;68;39;1;26;0;0.588586925;0;0.12935508;0;0;0;0.351876312;0.07615922;0;0;0.208715436;2.75459;0;0.2211227;-1.1383697;0;20;0;2;0;0;0;12;1;0;0;1;65;0;4;1
