fecha;year;date;dfs;dfs_corr;fecha_mes;alb_iglesia;chi_Molles;lit_Qpichi;lit_Qchiv;sub_Cachag;mut_Qchiv;chi_alb;alb;lit;;54;;69;;34;;18
jul 17 2017;2017;717;26;0;17-jul;0;0;0;4;0;0;0;0;4;;alb;82;chi;69;lit;44;mut
jul_21_2016;2016;721;31;5;21-jul;0;0;0;7;1;0;0;0;7;;alb;82;chi;69;lit;44;mut
jul 31 2017;2017;731;40;14;31-jul;0;0;0;5;3;0;0;0;5;;alb;82;chi;82;lit;44;mut
agos_3_2016;2016;803;44;18;03-ago;0;0;3;11;2;0;0;0;14;;alb;82;chi;82;lit;57;mut
ago 14 2017;2017;814;54;28;14-ago;0;0;0;18;9;0;0;0;18;;alb;82;chi;82;lit;57;mut
ago_16_2016;2016;816;57;31;16-ago;0;0;6;14;8;0;0;0;20;;alb;82;chi;82;lit;57;mut
ago 28 2017;2017;828;68;42;28-ago;0;0;0;19;10;0;0;0;19;;alb;82;chi;82;lit;57;mut
ago_28_2016;2016;828;69;43;28-ago;0;2;8;10;8;0;2;2;18;;alb;82;chi;82;lit;57;mut
sep 11 2017;2017;911;82;56;11-sept;15;19;0;11;11;0;34;49;11;;alb;82;chi;82;lit;57;mut
sept_11_2016;2016;911;83;57;11-sept;0;8;8;6;8;0;8;8;14;;alb;82;chi;82;lit;69;mut
sep 25 2017;2017;925;96;70;25-sept;17;8;0;1;5;0;25;42;1;0,33,18,3,0;alb;82;chi;82;lit;69;mut
sept_25_2016;2016;925;97;71;25-sept;1;13;6;4;5;0;14;15;10;2,48,13,6,0;alb;82;chi;82;lit;69;mut
oct 10 2017;2017;1010;111;85;10-oct;4;1;0;0;1;0;5;9;0;17,14,3,0,0;alb;82;chi;82;lit;69;mut
oct_10_2016;2016;1010;112;86;10-oct;8;10;3;1;4;0;18;26;4;0,0,0,7,11;alb;82;chi;82;lit;69;mut
oct 23 2017;2017;1023;124;98;23-oct;1;0;0;1;0;0;1;2;1;;alb;82;chi;82;lit;69;mut
oct_24_2016;2016;1024;126;100;24-oct;5;2;0;1;1;0;7;12;1;;alb;96;chi;82;lit;69;mut
nov 6 2017;2017;1106;138;112;06-nov;0;1;0;1;0;0;1;1;1;;alb;96;chi;82;lit;69;mut
nov_6_2016;2016;1106;139;113;06-nov;3;2;0;1;0;2;5;8;1;;alb;96;chi;82;lit;83;mut
nov 20 2017;2017;1120;152;126;20-nov;0;1;0;1;0;5;1;1;1;;alb;96;chi;82;lit;83;
nov_20_2016;2016;1120;153;127;20-nov;0;2;0;0;0;0;2;2;0;;alb;96;chi;82;lit;83;
dic 4 2017;2017;1204;166;140;04-dic;0;0;0;0;0;7;0;0;0;;alb;96;chi;83;lit;83;
dic_5_2016;2016;1205;168;142;05-dic;0;0;0;0;0;0;0;0;0;;alb;96;chi;83;lit;83;
dic 18 2017;2017;1218;180;154;18-dic;0;0;0;0;0;4;0;0;0;;alb;96;chi;83;lit;83;
;;;;;;54;69;34;116;76;18;123;;;;alb;96;chi;83;lit;83;
;;;;;;;;;;;;;;;;alb;96;chi;83;lit;83;
;;;;;;;;;;;;;;;;alb;96;chi;83;lit;97;
;;;;;;;;;;;;;;;;alb;96;chi;83;lit;97;
;;;;;;;;;;;;;;;;alb;96;chi;83;lit;97;
;;;;;;;;;;;;;;;;alb;96;chi;96;lit;97;
;;;;;;;;;;;;;;;;alb;96;chi;96;lit;97;
;;;;;;;;;;;;;;;;alb;96;chi;96;lit;97;
;;;;;;;;;;;;;;;;alb;96;chi;96;lit;112;
;;;;;;;;;;;;;;;;alb;97;chi;96;lit;112;
;;;;;;;;;;;;;;;;alb;111;chi;96;lit;112;
;;;;;;;;;;;;;;;;alb;111;chi;96;;;
;;;;;;;;;;;;;;;;alb;111;chi;96;;;
;;;;;;;;;;;;;;;;alb;111;chi;97;;;
;;;;;;;;;;;;;;;;alb;112;chi;97;;;
;;;;;;;;;;;;;;;;alb;112;chi;97;;;
;;;;;;;;;;;;;;;;alb;112;chi;97;;;
;;;;;;;;;;;;;;;;alb;112;chi;97;;;
;;;;;;;;;;;;;;;;alb;112;chi;97;;;
;;;;;;;;;;;;;;;;alb;112;chi;97;;;
;;;;;;;;;;;;;;;;alb;112;chi;97;;;
;;;;;;;;;;;;;;;;alb;112;chi;97;;;
;;;;;;;;;;;;;;;;alb;124;chi;97;;;
;;;;;;;;;;;;;;;;alb;126;chi;97;;;
;;;;;;;;;;;;;;;;alb;126;chi;97;;;
;;;;;;;;;;;;;;;;alb;126;chi;97;;;
;;;;;;;;;;;;;;;;alb;126;chi;111;;;
;;;;;;;;;;;;;;;;alb;126;chi;112;;;
;;;;;;;;;;;;;;;;alb;139;chi;112;;;
;;;;;;;;;;;;;;;;alb;139;chi;112;;;
;;;;;;;;;;;;;;;;alb;139;chi;112;;;
;;;;;;;;;;;;;;;;;;chi;112;;;
;;;;;;;;;;;;;;;;;;chi;112;;;
;;;;;;;;;;;;;;;;;;chi;112;;;
;;;;;;;;;;;;;;;;;;chi;112;;;
;;;;;;;;;;;;;;;;;;chi;112;;;
;;;;;;;;;;;;;;;;;;chi;112;;;
;;;;;;;;;;;;;;;;;;chi;126;;;
;;;;;;;;;;;;;;;;;;chi;126;;;
;;;;;;;;;;;;;;;;;;chi;138;;;
;;;;;;;;;;;;;;;;;;chi;139;;;
;;;;;;;;;;;;;;;;;;chi;139;;;
;;;;;;;;;;;;;;;;;;chi;152;;;
;;;;;;;;;;;;;;;;;;chi;153;;;
;;;;;;;;;;;;;;;;;;chi;153;;;
