id	species	pol
1	alb	Anthrenoides_sp
2	alb	Anthrenoides_sp
3	alb	Anthrenoides_sp
4	alb	Anthrenoides_sp
5	alb	Anthrenoides_sp
6	alb	Anthrenoides_sp
7	alb	Anthrenoides_sp
8	alb	Anthrenoides_sp
9	alb	Anthrenoides_sp
10	alb	Anthrenoides_sp
11	alb	Anthrenoides_sp
12	alb	Anthrenoides_sp
13	alb	Anthrenoides_sp
14	chi	Anthrenoides_sp
15	chi	Anthrenoides_sp
16	chi	Anthrenoides_sp
17	chi	Anthrenoides_sp
18	chi	Anthrenoides_sp
19	chi	Anthrenoides_sp
20	chi	Anthrenoides_sp
21	chi	Anthrenoides_sp
22	chi	Anthrenoides_sp
23	chi	Anthrenoides_sp
24	chi	Anthrenoides_sp
25	chi	Anthrenoides_sp
26	chi	Anthrenoides_sp
27	chi	Anthrenoides_sp
28	mut	Anthrenoides_sp
29	mut	Anthrenoides_sp
30	alb	Apis_melifera
31	alb	Apis_melifera
32	alb	Apis_melifera
33	alb	Caenohalictus_rostraticeps
34	lit	Caenohalictus_rostraticeps
35	lit	Caenohalictus_rostraticeps
36	lit	Caenohalictus_rostraticeps
37	lit	Caenohalictus_cyanopygus
38	mut	Chilicola_mantagua
39	mut	Chilicola_mantagua
40	mut	Chilicola_mantagua
41	mut	Chilicola_mantagua
42	mut	Chilicola_mantagua
43	mut	Chilicola_mantagua
44	mut	Chilicola_mantagua
45	mut	Chilicola_mantagua
46	alb	Chilicola_sp
47	chi	Chilicola_sp
48	chi	Chilicola_sp
49	chi	Chilicola_sp
50	mut	Chilicola_sp
51	mut	Chilicola_sp
52	mut	Chilicola_sp
53	mut	Chilicola_sp
54	mut	Chilicola_sp
55	mut	Chilicola_sp
56	mut	Chilicola_sp
57	mut	Chilicola_sp
58	mut	Chilicola_sp
59	mut	Chilicola_sp
60	mut	Chilicola_sp
61	mut	Diadasia_chilensis
62	alb	Dialictus_sp1
63	lit	Dialictus_sp1
64	lit	Dialictus_sp1
65	lit	Dialictus_sp1
66	lit	Dialictus_sp1
67	lit	Dialictus_sp1
68	lit	Dialictus_sp1
69	mut	Dialictus_sp1
70	mut	Dialictus_sp1
71	mut	Dialictus_sp1
72	mut	Dialictus_sp1
73	mut	Dialictus_sp1
74	mut	Dialictus_sp1
75	mut	Dialictus_sp1
76	mut	Dialictus_sp1
77	mut	Dialictus_sp1
78	mut	Dialictus_sp1
79	mut	Dialictus_sp1
80	mut	Dialictus_sp1
81	mut	Dialictus_sp1
82	mut	Dialictus_sp1
83	mut	Dialictus_sp1
84	mut	Dialictus_sp1
85	mut	Dialictus_sp1
86	mut	Dialictus_sp1
87	mut	Dialictus_sp1
88	mut	Dialictus_sp1
89	mut	Dialictus_sp1
90	mut	Dialictus_sp1
91	mut	Dialictus_sp1
92	mut	Dialictus_sp1
93	mut	Dialictus_sp1
94	mut	Dialictus_sp1
95	mut	Dialictus_sp1
96	alb	Liphantus_sp
97	alb	Liphantus_sp
98	alb	Liphantus_sp
99	alb	Liphantus_sp
100	alb	Liphantus_sp
101	alb	Liphantus_sp
