id	species	gf
1	alb	small
2	alb	small
3	alb	small
4	alb	small
5	alb	small
6	alb	small
7	alb	small
8	alb	small
9	alb	small
10	alb	small
11	alb	small
12	alb	small
13	alb	small
14	chi	small
15	chi	small
16	chi	small
17	chi	small
18	chi	small
19	chi	small
20	chi	small
21	chi	small
22	chi	small
23	chi	small
24	chi	small
25	chi	small
26	chi	small
27	chi	small
28	mut	small
29	mut	small
30	alb	large
31	alb	large
32	alb	large
33	alb	small
34	lit	small
35	lit	small
36	lit	small
37	lit	small
38	mut	large
39	mut	large
40	mut	large
41	mut	large
42	mut	large
43	mut	large
44	mut	large
45	mut	large
46	alb	small
47	chi	small
48	chi	small
49	chi	small
50	mut	small
51	mut	small
52	mut	small
53	mut	small
54	mut	small
55	mut	small
56	mut	small
57	mut	small
58	mut	small
59	mut	small
60	mut	small
61	mut	large
62	alb	small
63	lit	small
64	lit	small
65	lit	small
66	lit	small
67	lit	small
68	lit	small
69	mut	small
70	mut	small
71	mut	small
72	mut	small
73	mut	small
74	mut	small
75	mut	small
76	mut	small
77	mut	small
78	mut	small
79	mut	small
80	mut	small
81	mut	small
82	mut	small
83	mut	small
84	mut	small
85	mut	small
86	mut	small
87	mut	small
88	mut	small
89	mut	small
90	mut	small
91	mut	small
92	mut	small
93	mut	small
94	mut	small
95	mut	small
96	alb	small
97	alb	small
98	alb	small
99	alb	small
100	alb	small
101	alb	small
102	alb	small
103	alb	small
104	alb	small
105	alb	small
106	alb	small
107	alb	small
108	chi	small
109	chi	small
110	chi	small
111	chi	small
112	chi	small
113	chi	small
114	chi	small
115	chi	small
116	chi	small
117	chi	small
118	chi	small
119	chi	small
120	chi	small
121	mut	small
122	mut	small
123	mut	small
124	mut	small
125	mut	small
126	mut	small
127	mut	small
128	mut	small
129	mut	small
130	mut	small
131	mut	small
132	mut	small
133	mut	small
134	mut	small
135	mut	small
136	mut	small
137	mut	small
138	mut	small
139	mut	small
140	mut	small
141	mut	small
142	mut	small
143	mut	small
144	mut	small
145	mut	small
146	mut	small
147	mut	small
148	mut	small
149	mut	small
150	mut	small
151	lit	hummingbird
152	lit	hummingbird
153	lit	hummingbird
154	lit	hummingbird
155	lit	hummingbird
156	lit	hummingbird
157	lit	hummingbird
158	lit	hummingbird
159	lit	hummingbird
160	lit	hummingbird
161	lit	hummingbird
162	lit	hummingbird
163	lit	hummingbird
164	lit	hummingbird
165	lit	hummingbird
166	lit	hummingbird
167	lit	hummingbird
168	lit	hummingbird
169	lit	hummingbird
170	lit	hummingbird
171	lit	hummingbird
172	lit	hummingbird
173	lit	hummingbird
174	lit	hummingbird
175	lit	hummingbird
176	lit	hummingbird
177	lit	hummingbird
178	lit	hummingbird
179	lit	hummingbird
180	lit	hummingbird
181	lit	hummingbird
182	lit	hummingbird
183	lit	hummingbird
184	lit	hummingbird
185	lit	hummingbird
186	lit	hummingbird
187	lit	hummingbird
188	lit	hummingbird
189	lit	hummingbird
190	lit	hummingbird
191	alb	large
192	chi	large
193	chi	large
194	mut	large
195	mut	large
196	mut	large
197	mut	large
198	mut	large
199	mut	large
200	mut	large
201	mut	large 
202	mut	large
203	alb	small
204	alb	small
205	alb	small
206	alb	small
207	alb	small
208	alb	small
209	alb	small
210	alb	small
211	alb	small
212	alb	small
213	alb	small
214	alb	small
215	alb	small
216	alb	small
217	alb	small
218	alb	small
219	alb	small
220	alb	small
221	alb	small
222	alb	small
223	alb	small
224	alb	small
225	alb	small
226	alb	small
227	alb	small
228	chi	small
229	chi	small
230	chi	small
231	chi	small
232	chi	small
233	chi	small
234	mut	small
235	mut	small
236	mut	small
237	mut	small
238	mut	small
239	mut	small
240	mut	small
241	mut	small
242	mut	small
243	mut	small
244	mut	small
245	mut	small
246	mut	small
247	mut	small
248	mut	small
249	mut	small
250	mut	small
251	mut	small
252	mut	small
253	mut	small
254	mut	small
255	mut	small
256	mut	small
257	mut	small
258	mut	small
259	mut	small
260	mut	small
261	mut	small
262	mut	small
263	mut	small
264	mut	small
265	mut	small
266	mut	small
267	mut	small
268	mut	small
269	mut	small
270	mut	small
271	mut	small
272	mut	small
273	mut	small
274	mut	small
275	mut	small
276	mut	small
277	mut	small
278	mut	small
279	mut	small
280	mut	small
281	mut	small
282	mut	small
283	mut	small
284	mut	small
285	mut	small
286	mut	small
287	mut	small
288	mut	small
289	mut	small
290	mut	small
291	mut	small
292	mut	small
293	mut	small
294	mut	small
295	mut	small
296	mut	small
297	mut	small
298	mut	small
299	mut	small
300	mut	small
301	mut	small
302	mut	small
303	mut	small
304	mut	small
305	mut	small
306	mut	small
307	mut	small
308	mut	small
309	mut	small
310	mut	small
311	mut	small
312	mut	small
313	mut	small
314	mut	small
315	mut	small
316	mut	small
317	mut	small
318	mut	small
319	mut	small
320	mut	small
321	mut	small
322	mut	small
323	mut	small
324	mut	small
325	mut	small
326	chi	small
327	chi	small
328	mut	small
329	mut	small
330	mut	small
331	mut	small
332	mut	small
333	mut	small
334	mut	small
335	chi	small
336	chi	small
337	chi	small
338	chi	small
339	chi	small
340	chi	small
341	chi	small
342	chi	small
343	chi	small
344	mut	small
345	mut	small
346	chi	small
347	alb	small
348	alb	small
349	lit	small
350	lit	small
351	mut	small
352	mut	small
353	mut	small
354	mut	small
355	mut	small
356	mut	small
357	mut	small
358	mut	small
359	mut	small
360	mut	small
361	mut	small
362	mut	small
363	mut	small
364	chi	small
365	alb	small
366	alb	small
367	alb	small
368	alb	small
369	alb	small
370	alb	small
371	alb	small
372	alb	small
373	alb	small
374	alb	small
375	alb	small
376	alb	small
377	alb	small
378	alb	small
379	alb	small
380	alb	small
381	alb	small
382	alb	small
383	alb	small
384	alb	small
