id	species	NMDS1
1	chi	-0.335841401
2	chi	0.001833674
3	chi	-0.041557232
4	chi	-0.261696815
5	chi	-0.176911209
6	chi	-0.2546567
7	chi	-0.099738793
8	chi	-0.047239007
9	chi	-0.064324598
10	chi	-0.108446351
11	chi	-0.121373797
12	chi	-0.275428742
13	chi	-0.159061178
14	chi	-0.233491304
15	chi	-0.118179325
16	chi	-0.089242544
17	chi	-0.267264781
18	chi	-0.192831566
19	chi	-0.122595395
20	chi	-0.152605432
21	chi	-0.279175329
22	chi	-0.124949605
23	chi	-0.067891839
24	chi	-0.249014334
25	alb	-0.043870778
26	alb	-0.005794713
27	alb	-0.125378222
28	alb	-0.204543536
29	alb	-0.289293108
30	alb	-0.08201283
31	alb	-0.179221463
32	alb	-0.20838793
33	alb	-0.166639705
34	alb	-0.142224113
35	alb	-0.201047389
36	alb	-0.149230029
37	alb	-0.189438151
38	alb	-0.195307048
39	alb	-0.326085432
40	alb	-0.164194127
41	alb	-0.185015985
42	alb	-0.305053618
43	alb	-0.139205183
44	alb	0.021325701
45	alb	0.015689193
46	alb	-0.139470446
47	alb	-0.011337017
48	alb	-0.048918693
49	alb	-0.07230068
50	alb	0.03437249
51	mut	-0.280182311
52	mut	-0.056364468
53	mut	-0.063539947
54	mut	-0.15376803
55	mut	0.048885334
56	mut	0.133133532
57	mut	-0.338511325
58	mut	-0.13370076
59	mut	0.072983119
60	mut	0.016891112
61	mut	-0.055714983
62	mut	-0.218353572
63	mut	-0.03789006
64	mut	-0.108771478
65	mut	-0.332420196
66	mut	-0.386269987
67	mut	-0.144508511
68	mut	-0.232532497
69	mut	-0.03714468
70	mut	-0.198880262
71	mut	0.023050016
72	mut	-0.147107751
73	mut	-0.235205471
74	mut	-0.242913813
75	mut	-0.133379601
76	mut	-0.132691474
77	mut	-0.14327513
78	mut	-0.119029072
79	mut	0.077585364
80	mut	-0.032671152
81	mut	0.056181144
82	mut	-0.060183823
83	mut	-0.125772083
84	mut	0.092387316
85	lit	0.318524694
86	lit	0.216709357
87	lit	0.306792236
88	lit	0.25375158
89	lit	0.153894468
90	lit	0.320078722
91	lit	0.27320864
92	lit	0.365125786
93	lit	0.304347205
94	lit	0.194106798
95	lit	0.286809688
96	lit	0.262192228
97	lit	0.334760356
98	lit	0.287557173
99	lit	0.199858084
100	lit	0.272394173
101	lit	0.347858335
102	lit	0.226707545
103	lit	0.362126143
104	lit	0.315560587
105	lit	0.247378542
106	lit	0.19888389
107	lit	0.243647138
108	lit	0.385561609
109	lit	0.259198037
110	lit	0.394490352
111	lit	0.234293875
112	lit	0.283414132
113	lit	0.300798358
114	lit	0.249951595
115	lit	0.27722588
116	lit	0.244557453
117	lit	0.291456601
118	lit	0.132321299
119	lit	0.286889765
120	lit	0.298459597
121	lit	0.254776708
122	lit	0.096686658
123	lit	0.263704359
124	lit	0.183776595
125	lit	0.244115674
