id	species	das
id1	alb	82
id2	alb	82
id3	alb	82
id4	alb	82
id5	alb	82
id6	alb	82
id7	alb	82
id8	alb	82
id9	alb	82
id10	alb	82
id11	alb	82
id12	alb	82
id13	alb	82
id14	alb	82
id15	alb	82
id16	alb	96
id17	alb	96
id18	alb	96
id19	alb	96
id20	alb	96
id21	alb	96
id22	alb	96
id23	alb	96
id24	alb	96
id25	alb	96
id26	alb	96
id27	alb	96
id28	alb	96
id29	alb	96
id30	alb	96
id31	alb	96
id32	alb	96
id33	alb	97
id34	alb	111
id35	alb	111
id36	alb	111
id37	alb	111
id38	alb	112
id39	alb	112
id40	alb	112
id41	alb	112
id42	alb	112
id43	alb	112
id44	alb	112
id45	alb	112
id46	alb	124
id47	alb	126
id48	alb	126
id49	alb	126
id50	alb	126
id51	alb	126
id52	alb	139
id53	alb	139
id54	alb	139
id55	chi	69
id56	chi	69
id57	chi	82
id58	chi	82
id59	chi	82
id60	chi	82
id61	chi	82
id62	chi	82
id63	chi	82
id64	chi	82
id65	chi	82
id66	chi	82
id67	chi	82
id68	chi	82
id69	chi	82
id70	chi	82
id71	chi	82
id72	chi	82
id73	chi	82
id74	chi	82
id75	chi	83
id76	chi	83
id77	chi	83
id78	chi	83
id79	chi	83
id80	chi	83
id81	chi	83
id82	chi	83
id83	chi	96
id84	chi	96
id85	chi	96
id86	chi	96
id87	chi	96
id88	chi	96
id89	chi	96
id90	chi	96
id91	chi	97
id92	chi	97
id93	chi	97
id94	chi	97
id95	chi	97
id96	chi	97
id97	chi	97
id98	chi	97
id99	chi	97
id100	chi	97
id101	chi	97
id102	chi	97
id103	chi	97
id104	chi	111
id105	chi	112
id106	chi	112
id107	chi	112
id108	chi	112
id109	chi	112
id110	chi	112
id111	chi	112
id112	chi	112
id113	chi	112
id114	chi	112
id115	chi	126
id116	chi	126
id117	chi	138
id118	chi	139
id119	chi	139
id120	chi	152
id121	chi	153
id122	chi	153
id123	lit	44
id124	lit	44
id125	lit	44
id126	lit	57
id127	lit	57
id128	lit	57
id129	lit	57
id130	lit	57
id131	lit	57
id132	lit	69
id133	lit	69
id134	lit	69
id135	lit	69
id136	lit	69
id137	lit	69
id138	lit	69
id139	lit	69
id140	lit	83
id141	lit	83
id142	lit	83
id143	lit	83
id144	lit	83
id145	lit	83
id146	lit	83
id147	lit	83
id148	lit	97
id149	lit	97
id150	lit	97
id151	lit	97
id152	lit	97
id153	lit	97
id154	lit	112
id155	lit	112
id156	lit	112
id157	mut	139
id158	mut	139
id159	mut	152
id160	mut	152
id161	mut	152
id162	mut	152
id163	mut	152
id164	mut	166
id165	mut	166
id166	mut	166
id167	mut	166
id168	mut	166
id169	mut	166
id170	mut	166
id171	mut	180
id172	mut	180
id173	mut	180
id174	mut	180
