Species;Year;Treatment;Number of seeds;fruit.set
alb;2016;CONTROL;3;1
alb;2016;CONTROL;16;1
alb;2016;CONTROL;23;1
alb;2016;CONTROL;44;1
alb;2016;CONTROL;94;1
alb;2016;CONTROL;140;1
alb;2016;CONTROL;174;1
alb;2016;CONTROL;214;1
alb;2016;CONTROL;232;1
alb;2016;CONTROL;356;1
alb;2016;CONTROL;398;1
chi;2016;CONTROL;0;0
chi;2016;CONTROL;0;0
chi;2016;CONTROL;0;0
chi;2016;CONTROL;0;0
chi;2016;CONTROL;0;0
chi;2016;CONTROL;0;0
chi;2016;CONTROL;0;0
chi;2016;CONTROL;0;0
chi;2016;CONTROL;42;1
chi;2016;CONTROL;50;1
chi;2016;CONTROL;65;1
chi;2016;CONTROL;91;1
chi;2016;CONTROL;177;1
chi;2016;CONTROL;181;1
chi;2016;CONTROL;198;1
chi;2016;CONTROL;209;1
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;0;0
lit;2017;CONTROL;15;1
lit;2017;CONTROL;56;1
lit;2017;CONTROL;67;1
lit;2017;CONTROL;431;1
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;0;0
mut;2017;CONTROL;14;1
mut;2017;CONTROL;238;1
mut;2017;CONTROL;247;1
