Taxon;species;Temp;ARC_PG;germination
E. curvispina var. mutabilis;mut;Alta;1.345282921;0.974679435
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.345282921;0.974679435
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.173096912;0.921954446
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.345282921;0.974679435
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.345282921;0.974679435
E. curvispina var. mutabilis;mut;Alta;1.107148718;0.894427191
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.107148718;0.894427191
E. curvispina var. mutabilis;mut;Alta;1.345282921;0.974679435
E. curvispina var. mutabilis;mut;Alta;1.107148718;0.894427191
E. curvispina var. mutabilis;mut;Alta;1.570796327;1
E. curvispina var. mutabilis;mut;Alta;1.345282921;0.974679435
E. curvispina var. mutabilis;mut;Alta;1.047197551;0.866025404
E. subgibbosa;lit;Alta;1.047197551;0.866025404
E. subgibbosa;lit;Alta;1.173096912;0.921954446
E. subgibbosa;lit;Alta;1.249045772;0.948683298
E. subgibbosa;lit;Alta;0.991156586;0.836660026
E. subgibbosa;lit;Alta;1.107148718;0.894427191
E. subgibbosa;lit;Alta;1.570796327;1
E. subgibbosa;lit;Alta;1.249045772;0.948683298
E. subgibbosa;lit;Alta;1.345282921;0.974679435
E. subgibbosa;lit;Alta;1.249045772;0.948683298
E. subgibbosa;lit;Alta;1.173096912;0.921954446
E. subgibbosa;lit;Alta;1.249045772;0.948683298
E. subgibbosa;lit;Alta;1.249045772;0.948683298
E. subgibbosa;lit;Alta;1.249045772;0.948683298
E. subgibbosa;lit;Alta;1.249045772;0.948683298
E. subgibbosa;lit;Alta;1.249045772;0.948683298
E. subgibbosa;lit;Alta;1.345282921;0.974679435
E. subgibbosa;lit;Alta;1.107148718;0.894427191
E. subgibbosa;lit;Alta;1.570796327;1
E. subgibbosa;lit;Alta;1.107148718;0.894427191
E. subgibbosa;lit;Alta;1.570796327;1
E. chilensis;chi;Alta;1.047197551;0.866025404
E. chilensis;chi;Alta;1.047197551;0.866025404
E. chilensis;chi;Alta;0.93774449;0.806225775
E. chilensis;chi;Alta;0.991156586;0.836660026
